Land,Code,Label,Ausfuhr: Wert,Einfuhr: Wert
Albanien,WA20,"Zubereitungen von Gemüse, Früchten usw.",13949000,1144000
Albanien,WA21,Verschiedene Lebensmittelzubereitungen,39439000,132000
Albanien,WA22,"Getränke, alkoholhaltige Flüssigkeiten, Essig",58475000,1221000
Albanien,WA23,"Rückstände der Lebensmittelindustrie, Futter",21864000,791000
Albanien,WA24,Tabak,94325000,637000
Albanien,WA25,"Salz, Schwefel, Steine, Erden usw.",11701000,987000
Albanien,WA26,"Erze, Schlacken, Aschen",2000,222000
Albanien,WA27,Mineralische Brennstoffe usw.,57423000,89948000
Albanien,WA28,Anorganische chemische Erzeugnisse,5343000,1565000
Albanien,WA29,Organische chemische Erzeugnisse,7237000,893000
Albanien,WA30,Pharmazeutische Erzeugnisse,271102000,693000
Albanien,WA31,Düngemittel,1504000,0
Albanien,WA32,"Gerb- und Farbstoffe, Farben, Lacke usw.",21445000,377000
Albanien,WA33,"Etherische Öle, Riech-, Schönheitsmittel",127709000,2339000
Albanien,WA34,"Seifen, Waschmittel usw.",49540000,128000
Albanien,WA35,"Eiweißstoffe, Klebstoffe, Enzyme",10074000,35000
Albanien,WA36,"Sprengstoffe, pyrotechnische Artikel usw.",444000,66000
Albanien,WA37,Photochemische Erzeugnisse,2194000,2000
Albanien,WA38,Verschiedene Erzeugnisse der Chemischen Industrie,46061000,524000
Albanien,WA39,Kunststoffe und Waren daraus,153200000,12981000
Albanien,WA40,Kautschuk und Waren daraus,32609000,380000
Albanien,WA41,"Häute, Felle, Leder",53155000,361000
Albanien,WA42,"Lederwaren, Sattlerwaren",4236000,2994000
Albanien,WA43,"Pelzfelle, künstliches Pelzwerk",1133000,101000
Albanien,WA44,"Holz, Holzwaren, Holzkohle",31258000,15850000
Albanien,WA45,"Kork, Korkwaren",31000,0
Albanien,WA46,"Flechtwaren, Korbmacherwaren",378000,9000
Albanien,WA47,"Halbstoffe aus Holz usw., Papierabfall",906000,26000
Albanien,WA48,"Papier, Pappe und Waren daraus",37277000,5167000
Albanien,WA49,"Bücher, Zeitungen, Bilddrucke usw.",10437000,5967000
Albanien,WA50,Seide,94000,0
